date,geography,geography code,Total,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Mixed/multiple ethnic groups: Total,Mixed/multiple ethnic groups: White and Black Caribbean,Mixed/multiple ethnic groups: White and Black African,Mixed/multiple ethnic groups: White and Asian,Mixed/multiple ethnic groups: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
2021,Aldershot,E14000530,111274,87295,80342,741,212,114,5886,2855,756,456,923,720,15471,2295,1264,319,559,11034,2740,1592,694,454,2913,197,2716
2021,Aldridge-Brownhills,E14000531,77652,68848,67157,514,56,15,1106,1811,889,106,510,306,4771,3339,709,91,272,360,1463,576,711,176,759,35,724
2021,Altrincham and Sale West,E14000532,100923,81305,75844,1898,11,62,3490,3248,880,397,1156,815,12193,4499,3692,242,2787,973,1667,1080,407,180,2510,1106,1404
2021,Amber Valley,E14000533,90325,88233,86193,284,54,24,1678,964,401,120,264,179,726,260,60,30,184,192,236,117,87,32,166,8,158
2021,Arundel and South Downs,E14000534,104296,100610,96264,817,236,40,3253,1724,356,192,667,509,1153,371,53,92,235,402,346,202,96,48,463,75,388
2021,Ashfield,E14000535,104492,100262,96763,230,55,48,3166,1472,658,191,335,288,1444,609,154,44,262,375,916,524,242,150,398,50,348
2021,Ashford,E14000536,127325,111643,104620,732,665,77,5549,2809,759,432,873,745,7600,1690,388,336,573,4613,3401,2494,562,345,1872,297,1575
2021,Ashton-under-Lyne,E14000537,95973,76686,72822,604,42,141,3077,2304,876,412,582,434,12620,2575,7109,1444,772,720,3227,2576,313,338,1136,281,855
2021,Aylesbury,E14000538,125084,98432,88692,1122,134,170,8314,4716,1701,483,1250,1282,15571,3873,7745,352,582,3019,4441,2421,1447,573,1924,395,1529
2021,Banbury,E14000539,136464,120396,106351,1004,146,302,12593,3855,1045,617,1198,995,8114,2142,2977,208,1068,1719,2506,1521,608,377,1593,266,1327
2021,Barking,E14000540,145888,62690,41634,627,106,574,19749,6334,1980,1619,1056,1679,40591,7660,11655,16596,961,3719,30955,23449,3608,3898,5318,1083,4235
2021,Barnsley Central,E14000541,90561,87031,81544,199,108,179,5001,925,256,175,250,244,1111,222,155,19,288,427,776,616,70,90,718,116,602
2021,Barnsley East,E14000542,94359,91858,88326,169,94,119,3150,842,322,147,199,174,633,137,106,11,135,244,588,452,48,88,438,71,367
2021,Barrow and Furness,E14000543,87436,85055,83623,259,34,19,1120,718,144,94,294,186,1095,266,56,69,255,449,270,236,19,15,298,98,200
2021,Basildon and Billericay,E14000544,97700,85502,80018,670,59,155,4600,2640,916,477,607,640,4113,1890,461,443,385,934,4576,3283,655,638,869,142,727
2021,Basingstoke,E14000545,119495,101270,91880,837,113,214,8226,3600,1142,573,1053,832,9757,4210,626,443,860,3618,3096,2204,539,353,1772,315,1457
2021,Bassetlaw,E14000546,108408,104443,99371,287,112,60,4613,1319,484,170,353,312,1381,492,190,37,226,436,704,363,188,153,561,85,476
2021,Bath,E14000547,95044,83702,74429,911,49,168,8145,3544,933,405,1272,934,5107,1436,205,293,1743,1430,1387,748,460,179,1304,478,826
2021,Batley and Spen,E14000548,110690,80074,77371,335,53,69,2246,2409,731,213,1046,419,26468,11328,13902,164,281,793,871,494,258,119,868,238,630
2021,Battersea,E14000549,119432,81969,56056,2841,30,845,22197,7537,1941,934,2154,2508,10752,2496,2401,450,2136,3269,14218,7356,4906,1956,4956,1546,3410
2021,Beaconsfield,E14000550,105031,82417,74381,1616,210,113,6097,3697,942,340,1546,869,14696,9736,2304,343,592,1721,1643,754,642,247,2578,383,2195
2021,Beckenham,E14000551,92776,73646,64360,1757,65,140,7324,4961,1464,654,1425,1418,6923,3083,502,398,1402,1538,5020,2384,1911,725,2226,337,1889
2021,Bedford,E14000552,110601,76865,60170,1093,155,415,15032,5374,2263,622,1295,1194,18431,7389,4611,3954,515,1962,7289,3874,2559,856,2642,453,2189
