date,geography,geography code,Total,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Mixed/multiple ethnic groups: Total,Mixed/multiple ethnic groups: White and Black Caribbean,Mixed/multiple ethnic groups: White and Black African,Mixed/multiple ethnic groups: White and Asian,Mixed/multiple ethnic groups: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
2021,North East,E12000001,2647014,2462720,2397557,8384,2621,2375,51783,33271,5650,6527,12490,8604,98046,22021,27290,16355,14442,17938,26635,22066,1704,2865,26342,10406,15936
2021,North West,E12000002,7417398,6347394,6019385,61422,5741,7359,253487,163245,46962,30011,47829,38443,622685,140413,303611,60859,54051,63751,173918,126608,25919,21391,110156,43865,66291
2021,Yorkshire and The Humber,E12000003,5480774,4679965,4431265,25215,5891,9464,208130,117017,39296,15644,36888,25189,487055,81322,296437,29018,29589,50689,117643,80907,22736,14000,79094,25474,53620
2021,East Midlands,E12000004,4880054,4179774,3882390,27130,4620,7196,258438,117247,46400,14341,30803,25703,391103,229831,71038,20980,22973,46281,129986,83161,30828,15997,61944,13360,48584
2021,West Midlands,E12000005,5950757,4585024,4275557,47886,6207,6809,248565,178224,81193,16011,46478,34542,794264,276030,319165,77518,33301,88250,269019,146089,90192,32738,124226,31790,92436
2021,East of England,E12000006,6335068,5478364,4972149,57964,8977,9675,429599,179654,51950,27376,51448,48880,405869,136974,99452,50685,38444,80314,184949,118731,41884,24334,86232,15639,70593
2021,London,E12000007,8799725,4731172,3239281,156333,7031,37689,1290838,505775,132555,77341,125188,170691,1817640,656272,290549,322054,147520,401245,1188370,697054,345405,145911,556768,139791,416977
2021,South East,E12000008,9278063,8009380,7315058,78219,16748,12786,586569,260871,62087,38633,88106,72045,650545,241537,145311,39881,64329,159487,221584,150540,43523,27521,135683,29574,106109
2021,South West,E12000009,5701186,5309608,5008149,31698,6382,5785,257594,114074,33217,15644,34960,30253,159184,58847,17432,12217,26516,44172,69614,43318,17226,9070,48706,10302,38404
2021,Wales,W92000004,3107494,2915848,2814247,13214,3550,1843,82994,48598,13732,8068,14035,12763,89028,21070,17534,15314,14454,20656,27554,19907,3700,3947,26466,11641,14825
